name,categories,lat,lng,city,id,url,yelp_link,rating,reviews
Mod Pizza,pizza place,37.75615469,-122.25036012,Alameda,578ee353498e263140c83413,,https://www.yelp.com/biz/mod-pizza-alameda,4 star rating,279 reviews
Linguini's Pasta & Vino,italian restaurant,37.76564217504473,-122.24149907115277,Alameda,46057dc3f964a520c0441fe3,,https://www.yelp.com/biz/linguinis-pasta-and-vino-alameda,[],[]
Rooster's Roadhouse,bbq joint,37.77592739661571,-122.25267907635788,Alameda,4afb9a40f964a520c11e22e3,,https://www.yelp.com/biz/roosters-roadhouse-alameda,3 star rating,68 reviews
House of Bagels,bagel shop,37.76410382521821,-122.24295009962478,Alameda,4aabdfe7f964a520975a20e3,,https://www.yelp.com/biz/house-of-bagels-alameda,3 star rating,136 reviews
Pacific Puffs Truck,food truck,37.75640793519921,-122.24946669970784,San Francisco Bay Area,4e39a5ccae60f589a5dda7dd,,https://www.yelp.com/biz/pacific-puffs-truck-san francisco bay area,[],[]
Bagel Street Cafe,bagel shop,37.75698246855556,-122.25273185480555,Alameda,54c82f5a498e05697a006089,,https://www.yelp.com/biz/bagel-street-cafe-alameda,3.5 star rating,139 reviews
Island Taqueria,burrito place,37.76578717002245,-122.24162543966587,Alameda,4dd857ab2271c5d36d52eaf0,,https://www.yelp.com/biz/island-taqueria-alameda,4 star rating,302 reviews
New York Pizza,pizza place,37.766139,-122.24080900000001,Alameda,4b64d4fef964a52084d32ae3,https://www.grubhub.com/restaurant/new-york-pizza-1528-park-st-alameda/78022?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=78022,https://www.yelp.com/biz/new-york-pizza-alameda,3 star rating,172 reviews
Sakura Sushi & Grill Japanese Restaurant,sushi restaurant,37.76500455764731,-122.24151167107362,Alameda,4ac5777ef964a52022b220e3,,https://www.yelp.com/biz/sakura-sushi-and-grill-japanese-restaurant-alameda,[],[]
McDonald's,fast food restaurant,37.75522526114496,-122.2520674020052,Alameda,4b1ddd11f964a520fc1524e3,,https://www.yelp.com/biz/mcdonalds-alameda,2 star rating,72 reviews
Panera Bread,bakery,37.7565436,-122.250331,Alameda,4afde9b3f964a520fb2b22e3,,https://www.yelp.com/biz/panera-bread-alameda,3 star rating,321 reviews
Dimitra's,sandwich place,37.76224912654445,-122.2445482457797,Alameda,4bd202d39854d13ac7befa4d,,https://www.yelp.com/biz/dimitras-alameda,[],[]
Little Joe's Express,chinese restaurant,37.769978,-122.261744,Alameda,4ba195a8f964a52020c237e3,,https://www.yelp.com/biz/little-joes-express-alameda,4 star rating,204 reviews
Phở Sinh,vietnamese restaurant,37.76512159061865,-122.24199110318493,Alameda,4fa71a4de4b08e1f8a14c5fb,https://www.grubhub.com/restaurant/pho-sinh-1434-park-st-alameda/1541125?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1541125,https://www.yelp.com/biz/phở-sinh-alameda,3 star rating,233 reviews
Burger Meister,burger joint,37.76454784582381,-122.24330014426297,Alameda,4c34d8c316adc928e4dbc59c,,https://www.yelp.com/biz/burger-meister-alameda,[],[]
