,Hospital,Hospital Latitude,Hospital Longitude,Venue City,Venue,Venue Latitude,Venue Longitude,Venue Category,yelp_link,rating,reviews
81,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Fat Angel Food & Libation,37.783379733700016,-122.43318557739256,Gastropub,https://www.yelp.com/biz/fat-angel-food-and-libation-san-francisco,[],[]
82,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,SPQR,37.78728690606852,-122.43360621510921,Italian Restaurant,https://www.yelp.com/biz/spqr-san-francisco,3.5,1961 
83,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Fillmore BakeShop,37.78693090029705,-122.43341923583831,Bakery,https://www.yelp.com/biz/fillmore-bakeshop-san-francisco,4,521 
84,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Jane,37.789337542537076,-122.43395989992992,Café,https://www.yelp.com/biz/jane-san-francisco,4,1009 
85,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Gardenias,37.786109,-122.43271,Restaurant,https://www.yelp.com/biz/gardenias-san-francisco,4,134 
86,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Marufuku Ramen,37.785044585981645,-122.43188436047465,Ramen Restaurant,https://www.yelp.com/biz/marufuku-ramen-san-francisco,4.5,2961 
87,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Royal Indian Cuisine,37.78582179936749,-122.43313389181502,Indian Restaurant,https://www.yelp.com/biz/royal-indian-cuisine-san-francisco,4,279 
88,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,OMA San Francisco Station,37.785010213957456,-122.43093584499641,Sushi Restaurant,https://www.yelp.com/biz/oma-san-francisco-station-san-francisco,4.5,195 
89,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Sophie's Crepes,37.78484790649369,-122.43181774339398,Creperie,https://www.yelp.com/biz/sophies-crepes-san-francisco,4,1686 
90,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Judoku Sushi,37.82097960960668,-122.26069409602897,Sushi Restaurant,https://www.yelp.com/biz/judoku-sushi-oakland,4,453 
91,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Cat Town Cafe,37.81738679599543,-122.26322277928193,Pet Café,https://www.yelp.com/biz/cat-town-cafe-oakland,4,288 
92,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Beauty's Bagel Shop,37.82783115240899,-122.26472891128223,Bagel Shop,https://www.yelp.com/biz/beautys-bagel-shop-oakland,4,815 
93,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Doña,37.823397,-122.255967,Mexican Restaurant,https://www.yelp.com/biz/doña-oakland,3.5,880 
94,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Dan Sung Sa,37.81718846493942,-122.26790572901874,Korean Restaurant,https://www.yelp.com/biz/dan-sung-sa-oakland,4,813 
95,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,CHICA Oakland,37.81659637315359,-122.25726903999305,Mexican Restaurant,https://www.yelp.com/biz/chica-oakland-oakland,4.5,213 
96,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,The Wolf,37.82456023488045,-122.25497179256816,American Restaurant,https://www.yelp.com/biz/the-wolf-oakland,4,291 
97,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Chipotle Mexican Grill,37.81919,-122.262585,Mexican Restaurant,https://www.yelp.com/biz/chipotle-mexican-grill-oakland,2,228 
98,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Homeroom,37.82848621485799,-122.25998758330343,Mac & Cheese Joint,https://www.yelp.com/biz/homeroom-oakland,4,5616 
99,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Commis,37.824654473412735,-122.25485618121579,New American Restaurant,https://www.yelp.com/biz/commis-oakland,4.5,1006 
100,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Clove & Hoof Restaurant,37.82770819043962,-122.25674771760941,American Restaurant,https://www.yelp.com/biz/clove-and-hoof-restaurant-oakland,[],[]
101,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Blind Tiger,37.81584825769534,-122.26768968277607,Asian Restaurant,https://www.yelp.com/biz/blind-tiger-oakland,4,920 
102,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Mua Oakland Bar & Restaurant,37.81410757834559,-122.26433198353656,American Restaurant,https://www.yelp.com/biz/mua-oakland-bar-and-restaurant-oakland,[],[]
103,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Seoul Gom Tang,37.826757122985306,-122.26535636663958,Korean Restaurant,https://www.yelp.com/biz/seoul-gom-tang-oakland,[],[]
104,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Tacos Oscar,37.82867227053555,-122.26046198855781,Food Truck,https://www.yelp.com/biz/tacos-oscar-oakland,4.5,85 
105,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Homeroom To Go,37.82874318199587,-122.26092438859762,Mac & Cheese Joint,https://www.yelp.com/biz/homeroom-to-go-oakland,3.5,371 
106,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Cato's Ale House,37.82490541803088,-122.25454266435216,Gastropub,https://www.yelp.com/biz/catos-ale-house-oakland,4,639 
